"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Cote d'Ivoire","afciv","civ",148210,1995
"Africa","af","Egypt","afegy","egy",2223207.9999999995,1995
"Africa","af","Ethiopia","afeth","eth",4379,1995
"Africa","af","Kenya","afken","ken",7032,1995
"Africa","af","Mauritius","afmus","mus",374649,1995
"Africa","af","Sudan","afsdn","sdn",3834685,1995
"Africa","af","Togo","aftgo","tgo",16432.000000000004,1995
"Africa","af","Zimbabwe","afzwe","zwe",1726.9999999999998,1995
"Asia","as","United Arab Emirates","asare","are",168352,1995
"Asia","as","China","aschn","chn",242502633,1995
"Asia","as","Cyprus","ascyp","cyp",550735,1995
"Asia","as","Hong Kong","ashkg","hkg",474596983,1995
"Asia","as","Indonesia","asidn","idn",65204051,1995
"Asia","as","India","asind","ind",295877224,1995
"Asia","as","Iran","asirn","irn",875366.9999999999,1995
"Asia","as","Israel","asisr","isr",2791.0000000000005,1995
"Asia","as","Japan","asjpn","jpn",14961846,1995
"Asia","as","South Korea","askor","kor",388301664,1995
"Asia","as","Kuwait","askwt","kwt",8775,1995
"Asia","as","Sri Lanka","aslka","lka",271423,1995
"Asia","as","Macau","asmac","mac",1007.0000000000001,1995
"Asia","as","Maldives","asmdv","mdv",90073,1995
"Asia","as","Malaysia","asmys","mys",14887071,1995
"Asia","as","Oman","asomn","omn",242253,1995
"Asia","as","Pakistan","aspak","pak",134373089,1995
"Asia","as","Philippines","asphl","phl",360928,1995
"Asia","as","North Korea","asprk","prk",394960,1995
"Asia","as","Saudi Arabia","assau","sau",955331.0000000001,1995
"Asia","as","Singapore","assgp","sgp",70805598,1995
"Asia","as","Thailand","astha","tha",44425815,1995
"Asia","as","Turkey","astur","tur",25865,1995
"Asia","as","Chinese Taipei","astwn","twn",165939892,1995
"Europe","eu","Austria","euaut","aut",83287,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",691015,1995
"Europe","eu","Switzerland","euche","che",2190199,1995
"Europe","eu","Czechia","eucze","cze",54612,1995
"Europe","eu","Germany","eudeu","deu",1984758,1995
"Europe","eu","Denmark","eudnk","dnk",28805,1995
"Europe","eu","Spain","euesp","esp",26762,1995
"Europe","eu","Finland","eufin","fin",6019,1995
"Europe","eu","France","eufra","fra",2309508,1995
"Europe","eu","United Kingdom","eugbr","gbr",3340819,1995
"Europe","eu","Greece","eugrc","grc",4214989,1995
"Europe","eu","Croatia","euhrv","hrv",1095,1995
"Europe","eu","Hungary","euhun","hun",16039,1995
"Europe","eu","Ireland","euirl","irl",21105,1995
"Europe","eu","Italy","euita","ita",4995906,1995
"Europe","eu","Netherlands","eunld","nld",494052,1995
"Europe","eu","Norway","eunor","nor",652739,1995
"Europe","eu","Portugal","euprt","prt",24057,1995
"Europe","eu","Russia","eurus","rus",11784472.000000002,1995
"Europe","eu","Slovenia","eusvn","svn",8490,1995
"Europe","eu","Sweden","euswe","swe",562864,1995
"North America","na","Barbados","nabrb","brb",1712,1995
"North America","na","Canada","nacan","can",596089,1995
"North America","na","Mexico","namex","mex",1670000,1995
"North America","na","United States","nausa","usa",68896872,1995
"Oceania","oc","Australia","ocaus","aus",4581929,1995
"Oceania","oc","New Zealand","ocnzl","nzl",4302,1995
"Oceania","oc","Palau","ocplw","plw",19761,1995
"South America","sa","Argentina","saarg","arg",2308918,1995
"South America","sa","Brazil","sabra","bra",3330298,1995
"South America","sa","Colombia","sacol","col",5005,1995
"South America","sa","Peru","saper","per",503999,1995
"South America","sa","Paraguay","sapry","pry",367610,1995
"Africa","af","Benin","afben","ben",162165,1996
"Africa","af","Cote d'Ivoire","afciv","civ",163525,1996
"Africa","af","Cameroon","afcmr","cmr",1665652.9999999998,1996
"Africa","af","Democratic Republic of the Congo","afcod","cod",844.0000000000001,1996
"Africa","af","Egypt","afegy","egy",2644945,1996
"Africa","af","Ethiopia","afeth","eth",22604,1996
"Africa","af","Kenya","afken","ken",4348,1996
"Africa","af","Morocco","afmar","mar",269549.00000000006,1996
"Africa","af","Madagascar","afmdg","mdg",8035,1996
"Africa","af","Mali","afmli","mli",434905,1996
"Africa","af","Mauritius","afmus","mus",206307.00000000003,1996
"Africa","af","Sudan","afsdn","sdn",2090462,1996
"Africa","af","Senegal","afsen","sen",109993,1996
"Africa","af","Saint Helena","afshn","shn",941,1996
"Africa","af","Somalia","afsom","som",70800,1996
"Africa","af","Togo","aftgo","tgo",949065.9999999999,1996
"Africa","af","Uganda","afuga","uga",65339,1996
"Africa","af","South Africa","afzaf","zaf",33545,1996
"Asia","as","United Arab Emirates","asare","are",888727,1996
"Asia","as","China","aschn","chn",246020644,1996
"Asia","as","Christmas Island","ascxr","cxr",53791.00000000001,1996
"Asia","as","Hong Kong","ashkg","hkg",319192462,1996
"Asia","as","Indonesia","asidn","idn",97832541,1996
"Asia","as","India","asind","ind",390344376,1996
"Asia","as","British Indian Ocean Territory","asiot","iot",42833,1996
"Asia","as","Japan","asjpn","jpn",18715748,1996
"Asia","as","South Korea","askor","kor",333990587,1996
"Asia","as","Kuwait","askwt","kwt",2350,1996
"Asia","as","Sri Lanka","aslka","lka",1489950,1996
"Asia","as","Burma","asmmr","mmr",42385,1996
"Asia","as","Malaysia","asmys","mys",25079022,1996
"Asia","as","Pakistan","aspak","pak",84464127,1996
"Asia","as","Philippines","asphl","phl",1363833,1996
"Asia","as","North Korea","asprk","prk",5274089,1996
"Asia","as","Saudi Arabia","assau","sau",1702361,1996
"Asia","as","Singapore","assgp","sgp",75163550,1996
"Asia","as","Thailand","astha","tha",40699111,1996
"Asia","as","Turkey","astur","tur",850677,1996
"Asia","as","Chinese Taipei","astwn","twn",198677737,1996
"Asia","as","Vietnam","asvnm","vnm",17012,1996
"Asia","as","Yemen","asyem","yem",21240,1996
"Europe","eu","Austria","euaut","aut",147965,1996
"Europe","eu","Belgium-Luxembourg","eublx","blx",1361162,1996
"Europe","eu","Switzerland","euche","che",1237252,1996
"Europe","eu","Germany","eudeu","deu",2332403,1996
"Europe","eu","Denmark","eudnk","dnk",139535,1996
"Europe","eu","Spain","euesp","esp",218674,1996
"Europe","eu","Finland","eufin","fin",22265.999999999996,1996
"Europe","eu","France","eufra","fra",2043792,1996
"Europe","eu","United Kingdom","eugbr","gbr",4271689,1996
"Europe","eu","Greece","eugrc","grc",450449,1996
"Europe","eu","Croatia","euhrv","hrv",2631,1996
"Europe","eu","Hungary","euhun","hun",13675.999999999998,1996
"Europe","eu","Ireland","euirl","irl",1600,1996
"Europe","eu","Iceland","euisl","isl",1969,1996
"Europe","eu","Italy","euita","ita",2850377,1996
"Europe","eu","Netherlands","eunld","nld",2178165,1996
"Europe","eu","Norway","eunor","nor",11106,1996
"Europe","eu","Poland","eupol","pol",4141,1996
"Europe","eu","Portugal","euprt","prt",255784.99999999997,1996
"Europe","eu","Romania","eurou","rou",2000,1996
"Europe","eu","Russia","eurus","rus",20916497,1996
"Europe","eu","Sweden","euswe","swe",5403659,1996
"North America","na","Canada","nacan","can",2075151,1996
"North America","na","Honduras","nahnd","hnd",54473,1996
"North America","na","Jamaica","najam","jam",3983475.0000000005,1996
"North America","na","Mexico","namex","mex",422040.00000000006,1996
"North America","na","United States","nausa","usa",51500553,1996
"Oceania","oc","Australia","ocaus","aus",4811226,1996
"Oceania","oc","French Polynesia","ocpyf","pyf",631,1996
"South America","sa","Argentina","saarg","arg",1147166,1996
"South America","sa","Brazil","sabra","bra",988085,1996
"South America","sa","Chile","sachl","chl",27701500,1996
"South America","sa","Peru","saper","per",126360,1996
"Africa","af","Burundi","afbdi","bdi",2291335,1997
"Africa","af","Benin","afben","ben",7543673,1997
"Africa","af","Burkina Faso","afbfa","bfa",1892220,1997
"Africa","af","Central African Republic","afcaf","caf",285682,1997
"Africa","af","Cote d'Ivoire","afciv","civ",801164,1997
"Africa","af","Cameroon","afcmr","cmr",1890736,1997
"Africa","af","Republic of the Congo","afcog","cog",12981,1997
"Africa","af","Egypt","afegy","egy",422114.00000000006,1997
"Africa","af","Ethiopia","afeth","eth",6735,1997
"Africa","af","Kenya","afken","ken",125753,1997
"Africa","af","Liberia","aflbr","lbr",83462,1997
"Africa","af","Mali","afmli","mli",2322636,1997
"Africa","af","Malawi","afmwi","mwi",5206,1997
"Africa","af","Nigeria","afnga","nga",391150,1997
"Africa","af","Rwanda","afrwa","rwa",305882,1997
"Africa","af","Sudan","afsdn","sdn",3696493,1997
